     0: >>> E[0:00:00]-R[?]: Return=    -0.806, Steps= 7.0, Features = 9
   132: E[0:00:01]-R[0:00:56]: Return=     0.991, Steps=  10, Features = 9
   296: E[0:00:02]-R[0:00:58]: Return=     0.993, Steps=   8, Features = 9
   470: E[0:00:03]-R[0:00:57]: Return=     0.995, Steps=   6, Features = 9
   630: E[0:00:04]-R[0:00:57]: Return=     0.997, Steps=   4, Features = 9
   792: E[0:00:05]-R[0:00:56]: Return=     0.997, Steps=   4, Features = 9
   970: E[0:00:06]-R[0:00:54]: Return=     0.995, Steps=   6, Features = 9
  1146: E[0:00:07]-R[0:00:53]: Return=     0.997, Steps=   4, Features = 9
  1326: E[0:00:08]-R[0:00:51]: Return=     0.997, Steps=   4, Features = 9
  1516: E[0:00:09]-R[0:00:50]: Return=     0.985, Steps=  16, Features = 9
  1694: E[0:00:10]-R[0:00:49]: Return=     0.991, Steps=  10, Features = 9
  1872: E[0:00:11]-R[0:00:48]: Return=     0.995, Steps=   6, Features = 9
  2042: E[0:00:12]-R[0:00:47]: Return=     0.995, Steps=   6, Features = 9
  2218: E[0:00:13]-R[0:00:46]: Return=    -1.009, Steps=  10, Features = 9
  2402: E[0:00:14]-R[0:00:44]: Return=    -1.003, Steps=   4, Features = 9
  2582: E[0:00:15]-R[0:00:43]: Return=     0.995, Steps=   6, Features = 9
  2752: E[0:00:16]-R[0:00:42]: Return=     0.997, Steps=   4, Features = 9
  2928: E[0:00:17]-R[0:00:41]: Return=     0.997, Steps=   4, Features = 9
  3106: E[0:00:18]-R[0:00:40]: Return=     0.997, Steps=   4, Features = 9
  3284: E[0:00:19]-R[0:00:39]: Return=     0.995, Steps=   6, Features = 9
  3464: E[0:00:20]-R[0:00:38]: Return=     0.995, Steps=   6, Features = 9
  3640: E[0:00:21]-R[0:00:37]: Return=     0.997, Steps=   4, Features = 9
  3826: E[0:00:22]-R[0:00:36]: Return=     0.993, Steps=   8, Features = 9
  4006: E[0:00:23]-R[0:00:35]: Return=    -1.007, Steps=   8, Features = 9
  4186: E[0:00:24]-R[0:00:34]: Return=     0.997, Steps=   4, Features = 9
  4374: E[0:00:25]-R[0:00:33]: Return=     0.987, Steps=  14, Features = 9
  4554: E[0:00:26]-R[0:00:31]: Return=     0.995, Steps=   6, Features = 9
  4736: E[0:00:27]-R[0:00:30]: Return=     0.997, Steps=   4, Features = 9
  4922: E[0:00:28]-R[0:00:29]: Return=     0.991, Steps=  10, Features = 9
  5114: E[0:00:29]-R[0:00:28]: Return=     0.989, Steps=  12, Features = 9
  5292: E[0:00:30]-R[0:00:27]: Return=     0.995, Steps=   6, Features = 9
  5476: E[0:00:31]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 9
  5654: E[0:00:32]-R[0:00:25]: Return=     0.993, Steps=   8, Features = 9
  5838: E[0:00:33]-R[0:00:24]: Return=     0.991, Steps=  10, Features = 9
  6014: E[0:00:34]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 9
  6198: E[0:00:35]-R[0:00:22]: Return=     0.991, Steps=  10, Features = 9
  6378: E[0:00:37]-R[0:00:21]: Return=     0.989, Steps=  12, Features = 9
  6560: E[0:00:38]-R[0:00:20]: Return=     0.995, Steps=   6, Features = 9
  6718: E[0:00:39]-R[0:00:19]: Return=     0.995, Steps=   6, Features = 9
  6880: E[0:00:40]-R[0:00:18]: Return=     0.995, Steps=   6, Features = 9
  7056: E[0:00:41]-R[0:00:17]: Return=     0.989, Steps=  12, Features = 9
  7238: E[0:00:42]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 9
  7422: E[0:00:43]-R[0:00:15]: Return=     0.989, Steps=  12, Features = 9
  7610: E[0:00:44]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 9
  7788: E[0:00:45]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 9
  7970: E[0:00:46]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 9
  8148: E[0:00:47]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 9
  8334: E[0:00:48]-R[0:00:10]: Return=     0.985, Steps=  16, Features = 9
  8516: E[0:00:49]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 9
  8700: E[0:00:50]-R[0:00:07]: Return=     0.991, Steps=  10, Features = 9
  8880: E[0:00:51]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 9
  9038: E[0:00:52]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 9
  9220: E[0:00:53]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 9
  9372: E[0:00:54]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 9
  9532: E[0:00:55]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 9
  9688: E[0:00:56]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 9
  9870: E[0:00:57]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 9
 10000: >>> E[0:00:58]-R[0:00:00]: Return=    0.9966, Steps= 4.4, Features = 9
Total Experiment Duration 0:00:58
     0: >>> E[0:00:00]-R[?]: Return=    -1.004, Steps= 5.0, Features = 9
   124: E[0:00:01]-R[0:00:57]: Return=    -1.007, Steps=   8, Features = 9
   290: E[0:00:02]-R[0:00:59]: Return=     0.991, Steps=  10, Features = 9
   472: E[0:00:03]-R[0:00:56]: Return=     0.993, Steps=   8, Features = 9
   630: E[0:00:04]-R[0:00:57]: Return=     0.997, Steps=   4, Features = 9
   820: E[0:00:05]-R[0:00:55]: Return=    -1.025, Steps=  26, Features = 9
  1000: E[0:00:06]-R[0:00:53]: Return=    -1.009, Steps=  10, Features = 9
  1184: E[0:00:07]-R[0:00:52]: Return=     0.993, Steps=   8, Features = 9
  1356: E[0:00:08]-R[0:00:51]: Return=     0.995, Steps=   6, Features = 9
  1532: E[0:00:09]-R[0:00:50]: Return=    -1.003, Steps=   4, Features = 9
  1696: E[0:00:10]-R[0:00:49]: Return=    -1.007, Steps=   8, Features = 9
  1886: E[0:00:11]-R[0:00:48]: Return=    -1.015, Steps=  16, Features = 9
  2048: E[0:00:12]-R[0:00:47]: Return=     0.993, Steps=   8, Features = 9
  2224: E[0:00:13]-R[0:00:46]: Return=    -1.003, Steps=   4, Features = 9
  2400: E[0:00:14]-R[0:00:45]: Return=    -1.005, Steps=   6, Features = 9
  2572: E[0:00:15]-R[0:00:44]: Return=     0.995, Steps=   6, Features = 9
  2746: E[0:00:16]-R[0:00:43]: Return=     0.997, Steps=   4, Features = 9
