     0: >>> E[0:00:00]-R[?]: Return=   -0.9847, Steps=5.74, Features = 20
     3: E[0:00:01]-R[0:03:18]: Return=    -1.002, Steps=   3, Features = 20
   100: >>> E[0:00:02]-R[0:00:15]: Return=    -1.016, Steps=17.35, Features = 20
   200: >>> E[0:00:03]-R[0:00:10]: Return=    -1.011, Steps=11.87, Features = 20
   300: >>> E[0:00:04]-R[0:00:08]: Return=    -0.877, Steps=17.98, Features = 20
   400: >>> E[0:00:05]-R[0:00:07]: Return=    -1.003, Steps=4.44, Features = 20
   500: >>> E[0:00:05]-R[0:00:05]: Return=   -0.8941, Steps=15.1, Features = 20
   600: >>> E[0:00:06]-R[0:00:04]: Return=    -1.015, Steps=16.37, Features = 20
   700: >>> E[0:00:07]-R[0:00:03]: Return=    -0.996, Steps=16.96, Features = 20
   800: >>> E[0:00:08]-R[0:00:02]: Return=   -0.9753, Steps=16.34, Features = 20
   900: >>> E[0:00:09]-R[0:00:01]: Return=   -0.6562, Steps=17.25, Features = 20
  1000: >>> E[0:00:10]-R[0:00:00]: Return=   -0.6341, Steps=15.12, Features = 20
Total Experiment Duration 0:00:10
Output:			./Results/Experiment1/
     0: >>> E[0:00:00]-R[?]: Return=   -0.9847, Steps=5.74, Features = 20
    66: E[0:00:01]-R[0:00:09]: Return=    -1.003, Steps=   4, Features = 20
   100: >>> E[0:00:01]-R[0:00:09]: Return=    -1.016, Steps=17.35, Features = 20
   200: >>> E[0:00:02]-R[0:00:07]: Return=    -1.011, Steps=11.87, Features = 20
   300: >>> E[0:00:03]-R[0:00:06]: Return=    -0.877, Steps=17.98, Features = 20
   400: >>> E[0:00:04]-R[0:00:06]: Return=    -1.003, Steps=4.44, Features = 20
   500: >>> E[0:00:05]-R[0:00:05]: Return=   -0.8941, Steps=15.1, Features = 20
   600: >>> E[0:00:06]-R[0:00:04]: Return=    -1.015, Steps=16.37, Features = 20
   700: >>> E[0:00:07]-R[0:00:03]: Return=    -0.996, Steps=16.96, Features = 20
   800: >>> E[0:00:08]-R[0:00:02]: Return=   -0.9753, Steps=16.34, Features = 20
   900: >>> E[0:00:08]-R[0:00:01]: Return=   -0.6562, Steps=17.25, Features = 20
  1000: >>> E[0:00:09]-R[0:00:00]: Return=   -0.6341, Steps=15.12, Features = 20
Total Experiment Duration 0:00:09
Output:			./Results/Experiment1/
     0: >>> E[0:00:00]-R[?]: Return=   -0.9847, Steps=5.74, Features = 20
    66: E[0:00:01]-R[0:00:09]: Return=    -1.003, Steps=   4, Features = 20
   100: >>> E[0:00:01]-R[0:00:09]: Return=    -1.016, Steps=17.35, Features = 20
   200: >>> E[0:00:02]-R[0:00:08]: Return=    -1.011, Steps=11.87, Features = 20
   300: >>> E[0:00:03]-R[0:00:06]: Return=    -0.877, Steps=17.98, Features = 20
   400: >>> E[0:00:04]-R[0:00:05]: Return=    -1.003, Steps=4.44, Features = 20
   500: >>> E[0:00:04]-R[0:00:04]: Return=   -0.8941, Steps=15.1, Features = 20
   600: >>> E[0:00:05]-R[0:00:04]: Return=    -1.015, Steps=16.37, Features = 20
   700: >>> E[0:00:06]-R[0:00:03]: Return=    -0.996, Steps=16.96, Features = 20
   800: >>> E[0:00:07]-R[0:00:02]: Return=   -0.9753, Steps=16.34, Features = 20
   900: >>> E[0:00:08]-R[0:00:01]: Return=   -0.6562, Steps=17.25, Features = 20
  1000: >>> E[0:00:09]-R[0:00:00]: Return=   -0.6341, Steps=15.12, Features = 20
Total Experiment Duration 0:00:09
     0: >>> E[0:00:00]-R[?]: Return=   -0.9847, Steps=5.74, Features = 20
    45: E[0:00:01]-R[0:00:13]: Return=    -1.009, Steps=  10, Features = 20
   100: >>> E[0:00:01]-R[0:00:11]: Return=    -1.016, Steps=17.35, Features = 20
   200: >>> E[0:00:02]-R[0:00:08]: Return=    -1.011, Steps=11.87, Features = 20
   297: E[0:00:03]-R[0:00:07]: Return=    -1.012, Steps=  13, Features = 20
   300: >>> E[0:00:03]-R[0:00:07]: Return=    -0.877, Steps=17.98, Features = 20
   400: >>> E[0:00:04]-R[0:00:06]: Return=    -1.003, Steps=4.44, Features = 20
