     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
    70: E[0:00:01]-R[0:00:15]: Return=     0.977, Steps=  24, Features = 16
   194: E[0:00:02]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
   324: E[0:00:03]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
   452: E[0:00:04]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   584: E[0:00:05]-R[0:00:12]: Return=     0.983, Steps=  18, Features = 16
   710: E[0:00:06]-R[0:00:10]: Return=     0.999, Steps=   2, Features = 16
   858: E[0:00:07]-R[0:00:09]: Return=     0.979, Steps=  22, Features = 16
   982: E[0:00:08]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1102: E[0:00:09]-R[0:00:07]: Return=    -1.011, Steps=  12, Features = 16
  1216: E[0:00:10]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1348: E[0:00:11]-R[0:00:05]: Return=     0.981, Steps=  20, Features = 16
  1464: E[0:00:12]-R[0:00:04]: Return=     0.999, Steps=   2, Features = 16
  1594: E[0:00:13]-R[0:00:03]: Return=     0.999, Steps=   2, Features = 16
  1730: E[0:00:14]-R[0:00:02]: Return=     0.979, Steps=  22, Features = 16
  1846: E[0:00:15]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  1974: E[0:00:16]-R[0:00:00]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
    78: E[0:00:01]-R[0:00:15]: Return=     0.999, Steps=   2, Features = 16
   208: E[0:00:02]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
   340: E[0:00:03]-R[0:00:13]: Return=     0.985, Steps=  16, Features = 16
   474: E[0:00:04]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   602: E[0:00:05]-R[0:00:11]: Return=     0.999, Steps=   2, Features = 16
   732: E[0:00:06]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   870: E[0:00:07]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
   998: E[0:00:08]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 16
  1118: E[0:00:09]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1246: E[0:00:10]-R[0:00:06]: Return=     0.999, Steps=   2, Features = 16
  1398: E[0:00:11]-R[0:00:05]: Return=     0.981, Steps=  20, Features = 16
  1540: E[0:00:12]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 16
  1702: E[0:00:13]-R[0:00:02]: Return=     0.971, Steps=  30, Features = 16
  1828: E[0:00:14]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  1970: E[0:00:15]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
    70: E[0:00:01]-R[0:00:15]: Return=     0.977, Steps=  24, Features = 16
   200: E[0:00:02]-R[0:00:14]: Return=     0.999, Steps=   2, Features = 16
   340: E[0:00:03]-R[0:00:13]: Return=     0.985, Steps=  16, Features = 16
   468: E[0:00:04]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   590: E[0:00:05]-R[0:00:11]: Return=     0.999, Steps=   2, Features = 16
   718: E[0:00:06]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
   836: E[0:00:07]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   962: E[0:00:08]-R[0:00:08]: Return=     0.977, Steps=  24, Features = 16
  1080: E[0:00:09]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1210: E[0:00:10]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1350: E[0:00:11]-R[0:00:05]: Return=    -1.001, Steps=   2, Features = 16
  1476: E[0:00:12]-R[0:00:04]: Return=     0.991, Steps=  10, Features = 16
  1616: E[0:00:13]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1742: E[0:00:14]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 16
  1884: E[0:00:15]-R[0:00:01]: Return=     0.975, Steps=  26, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
    70: E[0:00:01]-R[0:00:15]: Return=     0.977, Steps=  24, Features = 16
   196: E[0:00:02]-R[0:00:14]: Return=     0.999, Steps=   2, Features = 16
   340: E[0:00:03]-R[0:00:13]: Return=     0.985, Steps=  16, Features = 16
   468: E[0:00:04]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
   596: E[0:00:05]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   726: E[0:00:06]-R[0:00:10]: Return=     0.999, Steps=   2, Features = 16
   858: E[0:00:07]-R[0:00:09]: Return=     0.979, Steps=  22, Features = 16
   984: E[0:00:08]-R[0:00:08]: Return=     0.999, Steps=   2, Features = 16
  1116: E[0:00:09]-R[0:00:07]: Return=     0.999, Steps=   2, Features = 16
  1256: E[0:00:10]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  1398: E[0:00:11]-R[0:00:05]: Return=     0.981, Steps=  20, Features = 16
  1540: E[0:00:12]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 16
  1702: E[0:00:13]-R[0:00:02]: Return=     0.971, Steps=  30, Features = 16
  1838: E[0:00:14]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  1976: E[0:00:15]-R[0:00:00]: Return=     0.999, Steps=   2, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=    0.9892, Steps=11.8, Features = 16
   100: E[0:00:01]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
   234: E[0:00:02]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   372: E[0:00:03]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
   506: E[0:00:04]-R[0:00:12]: Return=     0.991, Steps=  10, Features = 16
   638: E[0:00:05]-R[0:00:11]: Return=     0.999, Steps=   2, Features = 16
   772: E[0:00:06]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
   908: E[0:00:07]-R[0:00:08]: Return=     0.999, Steps=   2, Features = 16
  1044: E[0:00:08]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1176: E[0:00:09]-R[0:00:06]: Return=     0.987, Steps=  14, Features = 16
  1322: E[0:00:10]-R[0:00:05]: Return=     0.989, Steps=  12, Features = 16
  1454: E[0:00:11]-R[0:00:04]: Return=     0.977, Steps=  24, Features = 16
  1594: E[0:00:12]-R[0:00:03]: Return=     0.999, Steps=   2, Features = 16
  1734: E[0:00:13]-R[0:00:02]: Return=     0.997, Steps=   4, Features = 16
  1884: E[0:00:14]-R[0:00:01]: Return=     0.975, Steps=  26, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9968, Steps= 4.2, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    89: E[0:00:01]-R[0:00:13]: Return=     0.986, Steps=  15, Features = 16
   223: E[0:00:02]-R[0:00:13]: Return=    -1.007, Steps=   8, Features = 16
   362: E[0:00:03]-R[0:00:12]: Return=     0.992, Steps=   9, Features = 16
   495: E[0:00:04]-R[0:00:11]: Return=     0.996, Steps=   5, Features = 16
   630: E[0:00:05]-R[0:00:10]: Return=     0.996, Steps=   5, Features = 16
   764: E[0:00:06]-R[0:00:09]: Return=     0.986, Steps=  15, Features = 16
   902: E[0:00:07]-R[0:00:08]: Return=     0.992, Steps=   9, Features = 16
  1035: E[0:00:08]-R[0:00:07]: Return=      0.98, Steps=  21, Features = 16
  1173: E[0:00:09]-R[0:00:06]: Return=     0.984, Steps=  17, Features = 16
  1302: E[0:00:10]-R[0:00:05]: Return=     0.996, Steps=   5, Features = 16
  1438: E[0:00:11]-R[0:00:04]: Return=     0.984, Steps=  17, Features = 16
  1577: E[0:00:12]-R[0:00:03]: Return=     0.986, Steps=  15, Features = 16
  1712: E[0:00:13]-R[0:00:02]: Return=     0.998, Steps=   3, Features = 16
  1856: E[0:00:14]-R[0:00:01]: Return=     0.984, Steps=  17, Features = 16
  1983: E[0:00:15]-R[0:00:00]: Return=     0.994, Steps=   7, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    89: E[0:00:01]-R[0:00:13]: Return=     0.986, Steps=  15, Features = 16
   215: E[0:00:02]-R[0:00:14]: Return=     0.988, Steps=  13, Features = 16
   346: E[0:00:03]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   490: E[0:00:04]-R[0:00:12]: Return=     0.988, Steps=  13, Features = 16
   625: E[0:00:05]-R[0:00:11]: Return=     0.994, Steps=   7, Features = 16
   764: E[0:00:06]-R[0:00:09]: Return=     0.986, Steps=  15, Features = 16
   902: E[0:00:07]-R[0:00:08]: Return=     0.992, Steps=   9, Features = 16
  1040: E[0:00:08]-R[0:00:07]: Return=     0.996, Steps=   5, Features = 16
  1178: E[0:00:09]-R[0:00:06]: Return=     0.996, Steps=   5, Features = 16
  1307: E[0:00:10]-R[0:00:05]: Return=     0.996, Steps=   5, Features = 16
  1441: E[0:00:11]-R[0:00:04]: Return=     0.998, Steps=   3, Features = 16
  1577: E[0:00:12]-R[0:00:03]: Return=     0.986, Steps=  15, Features = 16
  1709: E[0:00:13]-R[0:00:02]: Return=      0.99, Steps=  11, Features = 16
  1836: E[0:00:14]-R[0:00:01]: Return=     0.992, Steps=   9, Features = 16
  1976: E[0:00:15]-R[0:00:00]: Return=     0.992, Steps=   9, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9942, Steps= 6.8, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2162, Steps=17.2, Features = 16
    89: E[0:00:01]-R[0:00:15]: Return=     0.986, Steps=  15, Features = 16
   167: E[0:00:02]-R[0:00:19]: Return=    -1.009, Steps=  10, Features = 16
   310: E[0:00:03]-R[0:00:15]: Return=      0.98, Steps=  21, Features = 16
   442: E[0:00:04]-R[0:00:13]: Return=     0.998, Steps=   3, Features = 16
   574: E[0:00:05]-R[0:00:12]: Return=     0.992, Steps=   9, Features = 16
