     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
    92: E[0:00:01]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
   222: E[0:00:02]-R[0:00:14]: Return=    -1.019, Steps=  20, Features = 16
   366: E[0:00:03]-R[0:00:12]: Return=     0.987, Steps=  14, Features = 16
   504: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   644: E[0:00:05]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
   818: E[0:00:06]-R[0:00:09]: Return=     0.961, Steps=  40, Features = 16
   956: E[0:00:07]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 16
  1092: E[0:00:08]-R[0:00:07]: Return=     0.997, Steps=   4, Features = 16
  1224: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1358: E[0:00:10]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  1496: E[0:00:11]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  1630: E[0:00:12]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1768: E[0:00:13]-R[0:00:02]: Return=     0.991, Steps=  10, Features = 16
  1912: E[0:00:14]-R[0:00:01]: Return=     0.961, Steps=  40, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9948, Steps= 6.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:27:35]: Return=    0.9932, Steps= 7.8, Features = 16
     1: >>> E[0:00:32]-R[17:56:50]: Return=     0.795, Steps= 6.0, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
   102: E[0:00:01]-R[0:00:14]: Return=    -1.009, Steps=  10, Features = 16
   222: E[0:00:02]-R[0:00:14]: Return=    -1.019, Steps=  20, Features = 16
   346: E[0:00:03]-R[0:00:13]: Return=     0.985, Steps=  16, Features = 16
   472: E[0:00:04]-R[0:00:13]: Return=    -1.035, Steps=  36, Features = 16
   588: E[0:00:05]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 16
   698: E[0:00:06]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   826: E[0:00:07]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
   946: E[0:00:08]-R[0:00:09]: Return=     0.997, Steps=   4, Features = 16
  1074: E[0:00:09]-R[0:00:08]: Return=     0.993, Steps=   8, Features = 16
  1194: E[0:00:10]-R[0:00:07]: Return=     0.989, Steps=  12, Features = 16
  1306: E[0:00:11]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1424: E[0:00:12]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1544: E[0:00:13]-R[0:00:04]: Return=     0.991, Steps=  10, Features = 16
  1670: E[0:00:14]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1804: E[0:00:15]-R[0:00:02]: Return=     0.993, Steps=   8, Features = 16
  1944: E[0:00:16]-R[0:00:00]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:17]-R[0:00:00]: Return=    0.9948, Steps= 6.2, Features = 16
Total Experiment Duration 0:00:17
     1: >>> E[0:00:17]-R[9:24:14]: Return=    0.9932, Steps= 7.8, Features = 16
     1: >>> E[0:00:33]-R[18:12:14]: Return=     0.795, Steps= 6.0, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
   124: E[0:00:01]-R[0:00:13]: Return=    -1.021, Steps=  22, Features = 16
   274: E[0:00:02]-R[0:00:12]: Return=    -1.027, Steps=  28, Features = 16
   416: E[0:00:03]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
   560: E[0:00:04]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   698: E[0:00:05]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   842: E[0:00:06]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
   976: E[0:00:07]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  1120: E[0:00:08]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  1238: E[0:00:09]-R[0:00:06]: Return=     0.991, Steps=  10, Features = 16
  1376: E[0:00:10]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  1516: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1656: E[0:00:12]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1796: E[0:00:13]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1940: E[0:00:14]-R[0:00:00]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9948, Steps= 6.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:21:51]: Return=    0.9932, Steps= 7.8, Features = 16
     1: >>> E[0:00:31]-R[17:06:35]: Return=     0.795, Steps= 6.0, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
   124: E[0:00:01]-R[0:00:13]: Return=    -1.021, Steps=  22, Features = 16
   274: E[0:00:02]-R[0:00:12]: Return=    -1.027, Steps=  28, Features = 16
   416: E[0:00:03]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
   556: E[0:00:04]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
   690: E[0:00:05]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
   832: E[0:00:06]-R[0:00:09]: Return=     0.995, Steps=   6, Features = 16
   966: E[0:00:07]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  1106: E[0:00:08]-R[0:00:07]: Return=     0.987, Steps=  14, Features = 16
  1242: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1376: E[0:00:10]-R[0:00:05]: Return=     0.991, Steps=  10, Features = 16
  1516: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1652: E[0:00:12]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1790: E[0:00:13]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1924: E[0:00:14]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9948, Steps= 6.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:26:14]: Return=    0.9932, Steps= 7.8, Features = 16
     1: >>> E[0:00:31]-R[17:16:08]: Return=     0.795, Steps= 6.0, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=     -0.61, Steps=11.0, Features = 16
   102: E[0:00:01]-R[0:00:13]: Return=    -1.009, Steps=  10, Features = 16
   240: E[0:00:02]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
   380: E[0:00:03]-R[0:00:12]: Return=     0.997, Steps=   4, Features = 16
   526: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   664: E[0:00:05]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   818: E[0:00:06]-R[0:00:09]: Return=     0.961, Steps=  40, Features = 16
   956: E[0:00:07]-R[0:00:08]: Return=     0.991, Steps=  10, Features = 16
  1106: E[0:00:08]-R[0:00:06]: Return=     0.987, Steps=  14, Features = 16
  1242: E[0:00:09]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1380: E[0:00:10]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1524: E[0:00:11]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  1662: E[0:00:12]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  1804: E[0:00:13]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  1952: E[0:00:14]-R[0:00:00]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9948, Steps= 6.2, Features = 16
Total Experiment Duration 0:00:15
     1: >>> E[0:00:15]-R[8:15:36]: Return=    0.9932, Steps= 7.8, Features = 16
     1: >>> E[0:00:30]-R[16:51:19]: Return=     0.795, Steps= 6.0, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=    0.3908, Steps=10.2, Features = 16
    99: E[0:00:01]-R[0:00:13]: Return=      0.99, Steps=  11, Features = 16
   231: E[0:00:02]-R[0:00:14]: Return=    -1.012, Steps=  13, Features = 16
   359: E[0:00:03]-R[0:00:13]: Return=     0.996, Steps=   5, Features = 16
   489: E[0:00:04]-R[0:00:12]: Return=     0.996, Steps=   5, Features = 16
   617: E[0:00:05]-R[0:00:11]: Return=     0.998, Steps=   3, Features = 16
   746: E[0:00:06]-R[0:00:10]: Return=     0.992, Steps=   9, Features = 16
   874: E[0:00:07]-R[0:00:09]: Return=     0.998, Steps=   3, Features = 16
  1010: E[0:00:08]-R[0:00:08]: Return=     0.988, Steps=  13, Features = 16
  1146: E[0:00:09]-R[0:00:07]: Return=     0.984, Steps=  17, Features = 16
  1278: E[0:00:10]-R[0:00:06]: Return=     0.994, Steps=   7, Features = 16
  1410: E[0:00:11]-R[0:00:05]: Return=     0.994, Steps=   7, Features = 16
  1547: E[0:00:12]-R[0:00:04]: Return=      0.99, Steps=  11, Features = 16
  1675: E[0:00:13]-R[0:00:03]: Return=     0.998, Steps=   3, Features = 16
  1800: E[0:00:14]-R[0:00:02]: Return=     0.994, Steps=   7, Features = 16
  1926: E[0:00:15]-R[0:00:01]: Return=     0.998, Steps=   3, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.7956, Steps= 5.4, Features = 16
Total Experiment Duration 0:00:16
     1: >>> E[0:00:16]-R[8:54:24]: Return=    0.7954, Steps= 5.6, Features = 16
     1: >>> E[0:00:33]-R[18:12:16]: Return=    0.9976, Steps= 3.4, Features = 16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.2008, Steps= 1.8, Features = 16
    97: E[0:00:01]-R[0:00:15]: Return=    -1.001, Steps=   2, Features = 16
   200: E[0:00:02]-R[0:00:17]: Return=    -1.015, Steps=  16, Features = 16
   319: E[0:00:03]-R[0:00:15]: Return=         1, Steps=   1, Features = 16
   421: E[0:00:04]-R[0:00:15]: Return=         1, Steps=   1, Features = 16
   528: E[0:00:05]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   593: E[0:00:06]-R[0:00:14]: Return=    -1.013, Steps=  14, Features = 16
   662: E[0:00:07]-R[0:00:14]: Return=    -1.013, Steps=  14, Features = 16
   718: E[0:00:08]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
   773: E[0:00:09]-R[0:00:15]: Return=     0.988, Steps=  13, Features = 16
   818: E[0:00:10]-R[0:00:15]: Return=         1, Steps=   1, Features = 16
   878: E[0:00:11]-R[0:00:14]: Return=     0.988, Steps=  13, Features = 16
   929: E[0:00:12]-R[0:00:14]: Return=         1, Steps=   1, Features = 16
   984: E[0:00:13]-R[0:00:14]: Return=     0.998, Steps=   3, Features = 16
