     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    62: E[0:00:01]-R[0:00:30]: Return=    -1.015, Steps=  16, Features = 16
   160: E[0:00:02]-R[0:00:31]: Return=     0.981, Steps=  20, Features = 16
   274: E[0:00:03]-R[0:00:28]: Return=    -1.005, Steps=   6, Features = 16
   300: >>> E[0:00:03]-R[0:00:28]: Return=   -0.8486, Steps=9.58, Features = 16
   434: E[0:00:04]-R[0:00:26]: Return=    -1.037, Steps=  38, Features = 16
   548: E[0:00:05]-R[0:00:24]: Return=    -1.013, Steps=  14, Features = 16
   600: >>> E[0:00:06]-R[0:00:24]: Return=   -0.5749, Steps=15.88, Features = 16
   752: E[0:00:07]-R[0:00:22]: Return=    -1.045, Steps=  46, Features = 16
   856: E[0:00:08]-R[0:00:21]: Return=     0.961, Steps=  40, Features = 16
   900: >>> E[0:00:09]-R[0:00:21]: Return=   -0.2528, Steps=13.8, Features = 16
  1002: E[0:00:10]-R[0:00:20]: Return=    -1.011, Steps=  12, Features = 16
  1088: E[0:00:11]-R[0:00:19]: Return=     0.991, Steps=  10, Features = 16
  1190: E[0:00:12]-R[0:00:18]: Return=     0.987, Steps=  14, Features = 16
  1200: >>> E[0:00:12]-R[0:00:18]: Return=   -0.1718, Steps=12.82, Features = 16
  1304: E[0:00:13]-R[0:00:17]: Return=    -1.007, Steps=   8, Features = 16
  1410: E[0:00:14]-R[0:00:16]: Return=    -1.033, Steps=  34, Features = 16
  1500: >>> E[0:00:15]-R[0:00:15]: Return=   -0.5088, Steps=9.82, Features = 16
  1610: E[0:00:16]-R[0:00:14]: Return=     0.987, Steps=  14, Features = 16
  1722: E[0:00:17]-R[0:00:13]: Return=     0.987, Steps=  14, Features = 16
  1800: >>> E[0:00:18]-R[0:00:12]: Return=    0.6319, Steps=9.06, Features = 16
  1910: E[0:00:19]-R[0:00:11]: Return=     0.985, Steps=  16, Features = 16
  2020: E[0:00:20]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
  2100: >>> E[0:00:21]-R[0:00:09]: Return=    0.6326, Steps= 8.4, Features = 16
  2218: E[0:00:22]-R[0:00:08]: Return=     0.987, Steps=  14, Features = 16
  2356: E[0:00:23]-R[0:00:06]: Return=     0.959, Steps=  42, Features = 16
  2400: >>> E[0:00:24]-R[0:00:06]: Return=    0.5132, Steps=7.84, Features = 16
  2510: E[0:00:25]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  2614: E[0:00:26]-R[0:00:04]: Return=    -1.013, Steps=  14, Features = 16
  2700: >>> E[0:00:27]-R[0:00:03]: Return=    0.6132, Steps=7.84, Features = 16
  2818: E[0:00:28]-R[0:00:02]: Return=     0.923, Steps=  78, Features = 16
  2914: E[0:00:29]-R[0:00:01]: Return=     0.987, Steps=  14, Features = 16
  3000: >>> E[0:00:30]-R[0:00:00]: Return=    0.6324, Steps= 8.6, Features = 16
Total Experiment Duration 0:00:30
Output:			./Results/Experiment2/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    62: E[0:00:01]-R[0:00:30]: Return=    -1.015, Steps=  16, Features = 16
   160: E[0:00:02]-R[0:00:31]: Return=     0.981, Steps=  20, Features = 16
   266: E[0:00:03]-R[0:00:28]: Return=    -1.005, Steps=   6, Features = 16
   300: >>> E[0:00:03]-R[0:00:28]: Return=   -0.8486, Steps=9.58, Features = 16
   434: E[0:00:04]-R[0:00:26]: Return=    -1.037, Steps=  38, Features = 16
   548: E[0:00:06]-R[0:00:25]: Return=    -1.013, Steps=  14, Features = 16
   600: >>> E[0:00:06]-R[0:00:24]: Return=   -0.5749, Steps=15.88, Features = 16
   752: E[0:00:07]-R[0:00:22]: Return=    -1.045, Steps=  46, Features = 16
   876: E[0:00:09]-R[0:00:21]: Return=     0.987, Steps=  14, Features = 16
   900: >>> E[0:00:09]-R[0:00:21]: Return=   -0.2528, Steps=13.8, Features = 16
  1006: E[0:00:10]-R[0:00:19]: Return=    -1.003, Steps=   4, Features = 16
  1120: E[0:00:11]-R[0:00:18]: Return=     0.993, Steps=   8, Features = 16
  1200: >>> E[0:00:12]-R[0:00:17]: Return=   -0.1718, Steps=12.82, Features = 16
  1320: E[0:00:13]-R[0:00:16]: Return=    -1.011, Steps=  12, Features = 16
  1466: E[0:00:14]-R[0:00:15]: Return=    -1.031, Steps=  32, Features = 16
  1500: >>> E[0:00:14]-R[0:00:14]: Return=   -0.5088, Steps=9.82, Features = 16
  1610: E[0:00:15]-R[0:00:13]: Return=     0.987, Steps=  14, Features = 16
