     0: >>> E[0:00:00]-R[?]: Return=    0.4738, Steps= 7.2, Features = 16
    54: E[0:00:01]-R[0:00:31]: Return=     0.993, Steps=   8, Features = 16
   154: E[0:00:02]-R[0:00:30]: Return=     0.995, Steps=   6, Features = 16
   250: E[0:00:03]-R[0:00:29]: Return=     0.989, Steps=  12, Features = 16
   300: >>> E[0:00:03]-R[0:00:29]: Return=    0.4734, Steps=7.62, Features = 16
   416: E[0:00:04]-R[0:00:27]: Return=     0.985, Steps=  16, Features = 16
   516: E[0:00:05]-R[0:00:26]: Return=     0.993, Steps=   8, Features = 16
   600: >>> E[0:00:06]-R[0:00:25]: Return=    0.4144, Steps=6.64, Features = 16
   692: E[0:00:07]-R[0:00:25]: Return=    -1.007, Steps=   8, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=    0.4738, Steps= 7.2, Features = 16
    68: E[0:00:01]-R[0:00:26]: Return=     0.987, Steps=  14, Features = 16
   170: E[0:00:02]-R[0:00:27]: Return=     0.991, Steps=  10, Features = 16
   290: E[0:00:03]-R[0:00:25]: Return=     0.991, Steps=  10, Features = 16
   300: >>> E[0:00:03]-R[0:00:25]: Return=    0.4734, Steps=7.62, Features = 16
   416: E[0:00:04]-R[0:00:24]: Return=     0.985, Steps=  16, Features = 16
   516: E[0:00:05]-R[0:00:23]: Return=     0.993, Steps=   8, Features = 16
   600: >>> E[0:00:06]-R[0:00:23]: Return=    0.4144, Steps=6.64, Features = 16
   708: E[0:00:07]-R[0:00:22]: Return=     0.995, Steps=   6, Features = 16
   814: E[0:00:08]-R[0:00:21]: Return=     0.995, Steps=   6, Features = 16
   900: >>> E[0:00:09]-R[0:00:20]: Return=    0.4938, Steps=7.16, Features = 16
  1008: E[0:00:10]-R[0:00:19]: Return=    -1.007, Steps=   8, Features = 16
  1112: E[0:00:11]-R[0:00:18]: Return=     0.989, Steps=  12, Features = 16
  1200: >>> E[0:00:11]-R[0:00:17]: Return=    0.5936, Steps=7.38, Features = 16
  1292: E[0:00:13]-R[0:00:17]: Return=    -1.009, Steps=  10, Features = 16
  1394: E[0:00:14]-R[0:00:16]: Return=     0.993, Steps=   8, Features = 16
  1500: >>> E[0:00:15]-R[0:00:15]: Return=     0.634, Steps= 7.0, Features = 16
  1606: E[0:00:16]-R[0:00:14]: Return=    -1.001, Steps=   2, Features = 16
  1700: E[0:00:17]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
  1800: >>> E[0:00:18]-R[0:00:12]: Return=    0.4742, Steps=6.84, Features = 16
  1910: E[0:00:19]-R[0:00:11]: Return=     0.991, Steps=  10, Features = 16
  2006: E[0:00:20]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
  2100: >>> E[0:00:21]-R[0:00:09]: Return=    0.4943, Steps= 6.7, Features = 16
  2204: E[0:00:22]-R[0:00:08]: Return=     0.989, Steps=  12, Features = 16
  2298: E[0:00:23]-R[0:00:07]: Return=     0.991, Steps=  10, Features = 16
  2400: >>> E[0:00:24]-R[0:00:06]: Return=    0.6334, Steps=7.62, Features = 16
  2508: E[0:00:25]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  2618: E[0:00:26]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  2700: >>> E[0:00:27]-R[0:00:03]: Return=    0.5936, Steps=7.44, Features = 16
  2804: E[0:00:28]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  2906: E[0:00:29]-R[0:00:01]: Return=    -1.001, Steps=   2, Features = 16
  3000: >>> E[0:00:30]-R[0:00:00]: Return=    0.3943, Steps= 6.7, Features = 16
Total Experiment Duration 0:00:30
     0: >>> E[0:00:00]-R[?]: Return=    0.4738, Steps= 7.2, Features = 16
    54: E[0:00:01]-R[0:00:31]: Return=     0.993, Steps=   8, Features = 16
   148: E[0:00:02]-R[0:00:31]: Return=     0.991, Steps=  10, Features = 16
   228: E[0:00:03]-R[0:00:32]: Return=     0.995, Steps=   6, Features = 16
   300: >>> E[0:00:03]-R[0:00:31]: Return=    0.4734, Steps=7.62, Features = 16
   394: E[0:00:04]-R[0:00:30]: Return=     0.993, Steps=   8, Features = 16
   490: E[0:00:05]-R[0:00:28]: Return=     0.995, Steps=   6, Features = 16
   594: E[0:00:07]-R[0:00:26]: Return=    -1.005, Steps=   6, Features = 16
   600: >>> E[0:00:07]-R[0:00:26]: Return=    0.4144, Steps=6.64, Features = 16
   708: E[0:00:08]-R[0:00:25]: Return=     0.995, Steps=   6, Features = 16
   808: E[0:00:09]-R[0:00:23]: Return=     0.995, Steps=   6, Features = 16
   900: >>> E[0:00:10]-R[0:00:22]: Return=    0.4938, Steps=7.16, Features = 16
   998: E[0:00:11]-R[0:00:21]: Return=     0.993, Steps=   8, Features = 16
  1100: E[0:00:12]-R[0:00:20]: Return=     0.991, Steps=  10, Features = 16
  1194: E[0:00:13]-R[0:00:19]: Return=     0.993, Steps=   8, Features = 16
  1200: >>> E[0:00:13]-R[0:00:19]: Return=    0.5936, Steps=7.38, Features = 16
  1302: E[0:00:14]-R[0:00:18]: Return=    -1.003, Steps=   4, Features = 16
  1400: E[0:00:15]-R[0:00:17]: Return=     0.995, Steps=   6, Features = 16
  1500: >>> E[0:00:16]-R[0:00:16]: Return=     0.634, Steps= 7.0, Features = 16
  1594: E[0:00:17]-R[0:00:15]: Return=    -1.005, Steps=   6, Features = 16
  1688: E[0:00:18]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
  1788: E[0:00:19]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
  1800: >>> E[0:00:19]-R[0:00:13]: Return=    0.4742, Steps=6.84, Features = 16
  1900: E[0:00:20]-R[0:00:12]: Return=     0.991, Steps=  10, Features = 16
  1988: E[0:00:21]-R[0:00:11]: Return=    -1.005, Steps=   6, Features = 16
  2086: E[0:00:22]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
  2100: >>> E[0:00:23]-R[0:00:10]: Return=    0.4943, Steps= 6.7, Features = 16
  2190: E[0:00:24]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  2276: E[0:00:25]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  2362: E[0:00:26]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  2400: >>> E[0:00:26]-R[0:00:07]: Return=    0.6334, Steps=7.62, Features = 16
  2494: E[0:00:27]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  2584: E[0:00:28]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  2682: E[0:00:29]-R[0:00:03]: Return=     0.991, Steps=  10, Features = 16
  2700: >>> E[0:00:29]-R[0:00:03]: Return=    0.5936, Steps=7.44, Features = 16
  2798: E[0:00:30]-R[0:00:02]: Return=    -1.005, Steps=   6, Features = 16
  2892: E[0:00:31]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2996: E[0:00:32]-R[0:00:00]: Return=     0.995, Steps=   6, Features = 16
  3000: >>> E[0:00:33]-R[0:00:00]: Return=    0.3943, Steps= 6.7, Features = 16
Total Experiment Duration 0:00:33
Output:			./Results/Experiment1/
     0: >>> E[0:00:00]-R[?]: Return=    0.4738, Steps= 7.2, Features = 16
    32: E[0:00:00]-R[0:00:46]: Return=     0.989, Steps=  12, Features = 16
    94: E[0:00:02]-R[0:00:47]: Return=     0.995, Steps=   6, Features = 16
   170: E[0:00:03]-R[0:00:43]: Return=     0.991, Steps=  10, Features = 16
   250: E[0:00:04]-R[0:00:41]: Return=     0.989, Steps=  12, Features = 16
   300: >>> E[0:00:05]-R[0:00:41]: Return=    0.4734, Steps=7.62, Features = 16
   366: E[0:00:06]-R[0:00:40]: Return=     0.989, Steps=  12, Features = 16
   446: E[0:00:07]-R[0:00:39]: Return=     0.987, Steps=  14, Features = 16
   500: E[0:00:08]-R[0:00:39]: Return=    -1.009, Steps=  10, Features = 16
