     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    58: E[0:00:01]-R[0:01:48]: Return=    -1.005, Steps=   6, Features = 16
   152: E[0:00:02]-R[0:02:01]: Return=     0.963, Steps=  38, Features = 16
   248: E[0:00:03]-R[0:01:54]: Return=     0.985, Steps=  16, Features = 16
   342: E[0:00:04]-R[0:01:51]: Return=     0.991, Steps=  10, Features = 16
   424: E[0:00:05]-R[0:01:52]: Return=    -1.001, Steps=   2, Features = 16
   526: E[0:00:06]-R[0:01:48]: Return=    -1.003, Steps=   4, Features = 16
   624: E[0:00:07]-R[0:01:45]: Return=    -1.001, Steps=   2, Features = 16
   718: E[0:00:08]-R[0:01:43]: Return=    -1.001, Steps=   2, Features = 16
   814: E[0:00:09]-R[0:01:42]: Return=     0.993, Steps=   8, Features = 16
   900: E[0:00:10]-R[0:01:41]: Return=     0.991, Steps=  10, Features = 16
   988: E[0:00:11]-R[0:01:41]: Return=     0.995, Steps=   6, Features = 16
  1000: >>> E[0:00:11]-R[0:01:41]: Return=    0.5939, Steps=7.06, Features = 16
  1088: E[0:00:12]-R[0:01:41]: Return=     0.991, Steps=  10, Features = 16
  1178: E[0:00:13]-R[0:01:40]: Return=     0.989, Steps=  12, Features = 16
  1276: E[0:00:14]-R[0:01:38]: Return=     0.995, Steps=   6, Features = 16
  1368: E[0:00:15]-R[0:01:37]: Return=    -1.001, Steps=   2, Features = 16
  1446: E[0:00:16]-R[0:01:37]: Return=    -1.003, Steps=   4, Features = 16
  1514: E[0:00:18]-R[0:01:38]: Return=     0.993, Steps=   8, Features = 16
  1612: E[0:00:19]-R[0:01:37]: Return=     0.989, Steps=  12, Features = 16
  1696: E[0:00:20]-R[0:01:36]: Return=    -1.001, Steps=   2, Features = 16
  1778: E[0:00:21]-R[0:01:35]: Return=     0.993, Steps=   8, Features = 16
  1848: E[0:00:22]-R[0:01:35]: Return=     0.993, Steps=   8, Features = 16
  1920: E[0:00:23]-R[0:01:35]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:24]-R[0:01:34]: Return=    0.5139, Steps= 7.1, Features = 16
  2098: E[0:00:25]-R[0:01:33]: Return=     0.991, Steps=  10, Features = 16
  2196: E[0:00:26]-R[0:01:31]: Return=     0.991, Steps=  10, Features = 16
  2294: E[0:00:27]-R[0:01:30]: Return=    -1.001, Steps=   2, Features = 16
  2386: E[0:00:28]-R[0:01:29]: Return=     0.995, Steps=   6, Features = 16
  2494: E[0:00:29]-R[0:01:27]: Return=     0.993, Steps=   8, Features = 16
  2592: E[0:00:30]-R[0:01:25]: Return=     0.989, Steps=  12, Features = 16
  2706: E[0:00:31]-R[0:01:23]: Return=     0.987, Steps=  14, Features = 16
  2814: E[0:00:32]-R[0:01:22]: Return=     0.991, Steps=  10, Features = 16
  2936: E[0:00:33]-R[0:01:19]: Return=     0.993, Steps=   8, Features = 16
  3000: >>> E[0:00:34]-R[0:01:18]: Return=    0.6539, Steps=7.08, Features = 16
  3116: E[0:00:35]-R[0:01:17]: Return=    -1.015, Steps=  16, Features = 16
