     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    20: E[0:00:00]-R[0:10:25]: Return=    -1.013, Steps=  14, Features = 16
    92: E[0:00:02]-R[0:09:15]: Return=     0.981, Steps=  20, Features = 16
   160: E[0:00:03]-R[0:08:42]: Return=     0.981, Steps=  20, Features = 16
   266: E[0:00:04]-R[0:07:09]: Return=    -1.005, Steps=   6, Features = 16
   374: E[0:00:05]-R[0:06:24]: Return=    -1.003, Steps=   4, Features = 16
   480: E[0:00:06]-R[0:06:00]: Return=     0.995, Steps=   6, Features = 16
   578: E[0:00:07]-R[0:05:51]: Return=     0.985, Steps=  16, Features = 16
   688: E[0:00:08]-R[0:05:40]: Return=    -1.021, Steps=  22, Features = 16
   792: E[0:00:09]-R[0:05:33]: Return=     0.989, Steps=  12, Features = 16
   892: E[0:00:10]-R[0:05:30]: Return=     0.995, Steps=   6, Features = 16
   992: E[0:00:11]-R[0:05:26]: Return=     0.993, Steps=   8, Features = 16
  1094: E[0:00:12]-R[0:05:22]: Return=     0.991, Steps=  10, Features = 16
  1194: E[0:00:13]-R[0:05:20]: Return=     0.985, Steps=  16, Features = 16
  1292: E[0:00:14]-R[0:05:18]: Return=     0.995, Steps=   6, Features = 16
  1412: E[0:00:15]-R[0:05:14]: Return=     0.971, Steps=  30, Features = 16
  1520: E[0:00:17]-R[0:05:09]: Return=     0.985, Steps=  16, Features = 16
  1616: E[0:00:18]-R[0:05:08]: Return=     0.993, Steps=   8, Features = 16
  1712: E[0:00:19]-R[0:05:06]: Return=     0.995, Steps=   6, Features = 16
  1808: E[0:00:20]-R[0:05:05]: Return=    -1.001, Steps=   2, Features = 16
  1938: E[0:00:21]-R[0:05:01]: Return=     0.955, Steps=  46, Features = 16
  2044: E[0:00:22]-R[0:04:59]: Return=     0.991, Steps=  10, Features = 16
  2148: E[0:00:23]-R[0:04:57]: Return=    -1.001, Steps=   2, Features = 16
  2260: E[0:00:24]-R[0:04:54]: Return=     0.995, Steps=   6, Features = 16
  2372: E[0:00:25]-R[0:04:51]: Return=     0.993, Steps=   8, Features = 16
  2474: E[0:00:26]-R[0:04:49]: Return=     0.995, Steps=   6, Features = 16
  2574: E[0:00:27]-R[0:04:47]: Return=     0.995, Steps=   6, Features = 16
  2678: E[0:00:28]-R[0:04:45]: Return=     0.995, Steps=   6, Features = 16
  2826: E[0:00:29]-R[0:04:42]: Return=     0.931, Steps=  70, Features = 16
  2938: E[0:00:30]-R[0:04:40]: Return=     0.983, Steps=  18, Features = 16
  3000: >>> E[0:00:31]-R[0:04:40]: Return=    0.6713, Steps=9.66, Features = 16
  3094: E[0:00:32]-R[0:04:39]: Return=     0.991, Steps=  10, Features = 16
